timeStamp,,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1.70E+12,,1944,Home Page,200,OK,Users: 1-43,text,TRUE,,42801,1254,50,50,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1701,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,18844,Women's Sunglasses Category,200,OK,Users: 1-20,text,TRUE,,500212,1348,50,50,https://www.aliexpress.com/w/wholesale-Women's-Sunglasses.html?spm=a2g0o.categorymp.0.0.74cevY9rvY9r6e&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Women%27s+Sunglasses%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000337683%2527%2520%2529%22%2C%22guide_trace%22%3A%2238b49dbb-039e-4d8a-b48e-14d6fe76f8bb%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,2194,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,277,Subcategory of Men's Belt,200,OK,Users: 1-14,text,TRUE,,2316,1231,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,277,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,288,Subcategory of Men's Belt,200,OK,Users: 1-17,text,TRUE,,2298,1230,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,287,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,5359,Open Item detail,200,,Users: 1-1,text,TRUE,,626,1180,50,50,https://wp.aliexpress.com/wp.html,,5359,UTF-8,1,0,DESKTOP-2QTKDAK,0,4756
1.70E+12,,1387,Home Page,200,OK,Users: 1-44,text,TRUE,,42857,1254,50,50,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,750,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,1188,Subcategory of Men's Belt,200,OK,Users: 1-15,text,TRUE,,2286,1233,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,1105,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,1234,Subcategory of Men's Belt,200,OK,Users: 1-8,text,TRUE,,2316,1230,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,1227,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,4338,Open Item detail,200,,Users: 1-6,text,TRUE,,626,1169,50,50,https://wp.aliexpress.com/wp.html,,4338,UTF-8,1,0,DESKTOP-2QTKDAK,0,3049
1.70E+12,,1214,Subcategory of Men's Belt,200,OK,Users: 1-11,text,TRUE,,2316,1232,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,1207,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,16953,Women's Sunglasses Category,200,OK,Users: 1-38,text,TRUE,,515338,1348,50,50,https://www.aliexpress.com/w/wholesale-Women's-Sunglasses.html?spm=a2g0o.categorymp.0.0.74cevY9rvY9r6e&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Women%27s+Sunglasses%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000337683%2527%2520%2529%22%2C%22guide_trace%22%3A%2238b49dbb-039e-4d8a-b48e-14d6fe76f8bb%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1974,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,3346,Home Page,200,OK,Users: 1-41,text,TRUE,,42801,1255,50,50,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,876,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,4984,Men's Belts Category,200,OK,Users: 1-39,text,TRUE,,479235,1857,50,50,https://www.aliexpress.com/w/wholesale-Men's-Belts.html?spm=a2g0o.categorymp.0.0.74cezvzpzvzpyF&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Men%27s+Belts%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000338524%2527%2520%2529%22%2C%22guide_trace%22%3A%2265349224-abe8-4ee3-a2e4-727a5a38ed04%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1419,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,8736,Men's Belts Category,200,OK,Users: 1-18,text,TRUE,,502851,1855,50,50,https://www.aliexpress.com/w/wholesale-Men's-Belts.html?spm=a2g0o.categorymp.0.0.74cezvzpzvzpyF&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Men%27s+Belts%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000338524%2527%2520%2529%22%2C%22guide_trace%22%3A%2265349224-abe8-4ee3-a2e4-727a5a38ed04%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1260,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,3397,Home Page,200,OK,Users: 1-47,text,TRUE,,42801,1253,50,50,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,3316,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,5088,Men's Belts Category,200,OK,Users: 1-24,text,TRUE,,502267,1855,50,50,https://www.aliexpress.com/w/wholesale-Men's-Belts.html?spm=a2g0o.categorymp.0.0.74cezvzpzvzpyF&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Men%27s+Belts%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000338524%2527%2520%2529%22%2C%22guide_trace%22%3A%2265349224-abe8-4ee3-a2e4-727a5a38ed04%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1478,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,8911,Men's Belts Category,200,OK,Users: 1-9,text,TRUE,,456945,1855,50,50,https://www.aliexpress.com/w/wholesale-Men's-Belts.html?spm=a2g0o.categorymp.0.0.74cezvzpzvzpyF&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Men%27s+Belts%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000338524%2527%2520%2529%22%2C%22guide_trace%22%3A%2265349224-abe8-4ee3-a2e4-727a5a38ed04%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1893,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,1673,Subcategory of Men's Belt,200,OK,Users: 1-5,text,TRUE,,2306,1231,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,1668,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,817,Subcategory of Men's Belt,200,OK,Users: 1-12,text,TRUE,,2302,1233,50,50,https://www.aliexpress.com/?spm=a2g0o.productlist.logo.1.2d6cOJmwOJmwHS,,812,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,8297,Men's Belts Category,200,OK,Users: 1-22,text,TRUE,,461220,1855,50,50,https://www.aliexpress.com/w/wholesale-Men's-Belts.html?spm=a2g0o.categorymp.0.0.74cezvzpzvzpyF&isFromCategory=y&categoryUrlParams=%7B%22q%22%3A%22Men%27s+Belts%22%2C%22s%22%3A%22qp_nw%22%2C%22osf%22%3A%22category_navigate%22%2C%22sg_search_params%22%3A%22on___%2528%2520prism_tag_id%253A%25271000338524%2527%2520%2529%22%2C%22guide_trace%22%3A%2265349224-abe8-4ee3-a2e4-727a5a38ed04%22%2C%22scene_id%22%3A%2232124%22%2C%22searchBizScene%22%3A%22openSearch%22%2C%22recog_lang%22%3A%22en%22%2C%22bizScene%22%3A%22category_navigate%22%2C%22guideModule%22%3A%22category_navigate_vertical%22%2C%22postCatIds%22%3A%22200000297%2C36%2C1501%2C18%2C200003922%22%2C%22scene%22%3A%22category_navigate%22%7D,,1991,UTF-8,1,0,DESKTOP-2QTKDAK,0,0
1.70E+12,,6012,Open Item detail,200,,Users: 1-3,text,TRUE,,626,1183,50,50,https://wp.aliexpress.com/wp.html,,6012,UTF-8,1,0,DESKTOP-2QTKDAK,0,3111
