timeStamp,elapsed,label,responseCode,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
0.0,-0.13051625192564373,Login,422,Users 1-9,text,0,0.0,-1.0452097570519805,0.7362202338153091,0.6298987269683614,0.6298987269683614,0.5028831887518728,-0.04476614810358452,-0.21569109373958728
0.0,0.11678017354028944,Login,422,Users 1-1,text,0,0.0,-1.0452502441224265,0.7290082922790636,0.6298987269683614,0.6298987269683614,2.120004345231922,-0.04476614810358452,-0.21569109373958728
0.0,0.4308372309761133,https://github.com/,200,Users 1-16,text,1,0.0,0.9762590614706067,-1.0649621648619836,0.6298987269683614,0.6298987269683614,0.9321348609502513,-0.04476614810358452,0.25951978315792085
0.0,-0.22956019419083368,Login,422,Users 1-10,text,0,0.0,-1.0451793917491463,0.7434321753515545,0.6298987269683614,0.6298987269683614,-0.14406772053995556,-0.04476614810358452,-0.21569109373958728
0.0,0.3455058598314995,https://github.com/,200,Users 1-23,text,1,0.0,0.9762185744001609,-1.0649621648619836,0.6298987269683614,0.6298987269683614,2.1681542941420027,-0.04476614810358452,0.5566485552632416
0.0,0.37865110316866357,https://github.com/,200,Users 1-21,text,1,0.0,0.976198330864938,-1.0649621648619836,0.6298987269683614,0.6298987269683614,2.377145561751714,-0.04476614810358452,0.7581496765760455
0.0,0.31157704100173106,https://github.com/,200,Users 1-27,text,1,0.0,0.976329913843887,-1.0649621648619836,0.6298987269683614,0.6298987269683614,1.762465362899621,-0.04476614810358452,0.20682699598653395
0.0,0.29661074909298796,https://github.com/,200,Users 1-28,text,1,0.0,0.9770688028795235,-1.0649621648619836,0.6298987269683614,0.6298987269683614,2.206059573071215,-0.04476614810358452,1.486090773425206
0.0,0.07744468381155102,https://github.com/,200,Users 1-43,text,1,0.0,0.9768764892949058,-1.0649621648619836,0.6298987269683614,0.6298987269683614,1.343970594181154,-0.04476614810358452,0.799620851664637
0.0,0.7035215024024275,https://github.com/,200,Users 1-3,text,1,0.0,0.9767449063159568,-1.0649621648619836,0.6298987269683614,0.6298987269683614,2.379194495747888,-0.04476614810358452,1.887629327518275
0.0,-0.23872802745430458,Login,422,Users 1-11,text,0,0.0,-1.0451389046787003,0.7235993361268795,0.6298987269683614,0.6298987269683614,-0.20758467442133857,-0.04476614810358452,-0.21569109373958728
0.0,0.37575187384602743,https://github.com/,200,Users 1-41,text,1,0.0,0.976684175710288,-1.0649621648619836,0.6298987269683614,0.6298987269683614,1.7168765814847573,-0.04476614810358452,1.3938783958752787
0.0,-0.23355642920311587,Login,422,Users 1-12,text,0,0.0,-1.0450275652349743,0.7235993361268795,0.6298987269683614,0.6298987269683614,-0.17121609598925636,-0.04476614810358452,-0.21569109373958728
